what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1255338814139
started,bundle,org.eclipse.update.core,3.2.202.R34x_v20081128,org.eclipse.update.core,1255338814139
started,bundle,org.antlr.eclipse.ui,4.1.1,org.antlr.eclipse.ui,1255338826006
started,bundle,org.antlr.eclipse.core,4.1.0,org.antlr.eclipse.core,1255338826016
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,org.eclipse.wst.sse.core,1255338826286
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1255338827508
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1255338828329
started,bundle,org.eclipse.debug.core,3.4.1.v20090106_r342,org.eclipse.debug.core,1255338828339
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1255338828339
started,bundle,org.eclipse.pde.core,3.4.0.v20090202,org.eclipse.pde.core,1255338828379
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1255338828379
started,bundle,rightClick,0.7.0,rightClick,1255338833657
started,bundle,org.eclipse.m2m.atl.core,3.0.0.v200906220943,org.eclipse.m2m.atl.core,1255338833657
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255338833687
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255338848598
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255338850992
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255339213052
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255339214915
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255339217549
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255339217619
stopped,bundle,org.eclipse.ve.jfc,1.4.0.v20090605-0020,org.eclipse.ve.jfc,1255339217959
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.105.v200811282340,org.eclipse.wst.xsd.ui,1255339218009
stopped,bundle,org.eclipse.wst.xsd.core,1.1.401.v200903020335,org.eclipse.wst.xsd.core,1255339218039
