what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.cea.papyrus.ocl.interpreter,1.11.0,com.cea.papyrus.ocl.interpreter,1255516510290
stopped,bundle,org.eclipse.uml2.uml.ecore.exporter,2.2.0.v200805131030,org.eclipse.uml2.uml.ecore.exporter,1255516510290
stopped,bundle,org.eclipse.emf.exporter,2.4.0.v200902171115,org.eclipse.emf.exporter,1255516510290
stopped,bundle,org.eclipse.emf.importer.ecore,2.4.0.v200902171115,org.eclipse.emf.importer.ecore,1255516510290
stopped,bundle,org.eclipse.uml2.uml.ecore.importer,2.2.0.v200805131030,org.eclipse.uml2.uml.ecore.importer,1255516510290
stopped,bundle,org.eclipse.emf.cheatsheets,2.4.0.v200902171115,org.eclipse.emf.cheatsheets,1255516510290
stopped,bundle,org.eclipse.emf.importer.java,2.4.1.v200902171115,org.eclipse.emf.importer.java,1255516510290
stopped,bundle,org.eclipse.emf.importer.rose,2.4.0.v200902171115,org.eclipse.emf.importer.rose,1255516510290
stopped,bundle,org.eclipse.emf.importer,2.4.1.v200902171115,org.eclipse.emf.importer,1255516510290
stopped,bundle,org.eclipse.emf.converter,2.4.0.v200902171115,org.eclipse.emf.converter,1255516510290
stopped,bundle,org.eclipse.uml2.codegen.ecore.ui,1.4.0.v200805131030,org.eclipse.uml2.codegen.ecore.ui,1255516510290
stopped,bundle,org.eclipse.emf.codegen.ecore.ui,2.4.1.v200902171115,org.eclipse.emf.codegen.ecore.ui,1255516510290
stopped,bundle,org.eclipse.m2m.atl.adt.ui,3.0.0.v200906220943,org.eclipse.m2m.atl.adt.ui,1255516510290
stopped,bundle,org.eclipse.uml2.examples.uml.ui,2.2.0.v200805131030,org.eclipse.uml2.examples.uml.ui,1255516510290
stopped,bundle,org.eclipse.emf.ecore.editor,2.4.0.v200902171115,org.eclipse.emf.ecore.editor,1255516510290
stopped,bundle,org.eclipse.uml2.uml.editor,2.2.0.v200805131030,org.eclipse.uml2.uml.editor,1255516510290
stopped,bundle,org.eclipse.emf.workspace.ui,1.2.0.v200805130238,org.eclipse.emf.workspace.ui,1255516510300
stopped,bundle,org.eclipse.emf.edit.ui,2.4.2.v200902171115,org.eclipse.emf.edit.ui,1255516510300
stopped,bundle,org.eclipse.emf.common.ui,2.4.0.v200902171115,org.eclipse.emf.common.ui,1255516510300
stopped,bundle,org.eclipse.m2m.atl.core.ui.vm,3.0.0.v200906220943,org.eclipse.m2m.atl.core.ui.vm,1255516510300
stopped,bundle,org.eclipse.m2m.atl.adt.debug,3.0.0.v200906220943,org.eclipse.m2m.atl.adt.debug,1255516510300
stopped,bundle,org.eclipse.m2m.atl.adt.editor,3.0.0.v200906220943,org.eclipse.m2m.atl.adt.editor,1255516510300
stopped,bundle,org.eclipse.mylyn.commons.ui,3.2.0.v20090617-0100-e3x,org.eclipse.mylyn.commons.ui,1255516510300
stopped,bundle,org.eclipse.gmf.xpand.editor,1.0.0.v20080812-2100,org.eclipse.gmf.xpand.editor,1255516510300
stopped,bundle,org.eclipse.ecf.example.collab.editor,1.0.200.v20081224-1728,org.eclipse.ecf.example.collab.editor,1255516510310
