what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,org.eclipse.mylyn.team.ui,1255359239138
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1255359239138
started,bundle,org.eclipse.update.core,3.2.202.R34x_v20081128,org.eclipse.update.core,1255359239138
started,bundle,org.eclipse.debug.core,3.4.1.v20090106_r342,org.eclipse.debug.core,1255359244966
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1255359244996
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255359247159
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1255359249923
started,bundle,org.eclipse.m2m.atl.common,3.0.0.v200906220943,org.eclipse.m2m.atl.common,1255359249933
started,bundle,org.eclipse.m2m.atl.core.ui,3.0.0.v200906220943,org.eclipse.m2m.atl.core.ui,1255359249933
started,bundle,org.eclipse.m2m.atl.core,3.0.0.v200906220943,org.eclipse.m2m.atl.core,1255359249993
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255359543605
started,bundle,org.antlr.eclipse.ui,4.1.1,org.antlr.eclipse.ui,1255359545698
started,bundle,org.antlr.eclipse.core,4.1.0,org.antlr.eclipse.core,1255359545708
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255359600357
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255359663257
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.help.aboutAction,1255359663267
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255359665831
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255359668255
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255359669577
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255359670398
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255359670468
stopped,bundle,org.eclipse.ve.jfc,1.4.0.v20090605-0020,org.eclipse.ve.jfc,1255359670628
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.105.v200811282340,org.eclipse.wst.xsd.ui,1255359670628
stopped,bundle,org.eclipse.wst.xsd.core,1.1.401.v200903020335,org.eclipse.wst.xsd.core,1255359670628
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.301.v200808072012,org.eclipse.wst.dtd.ui,1255359670628
