what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.gmf.common,1.1.1.v20080610-1132,org.eclipse.gmf.common,1255353828619
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1255353828619
stopped,bundle,org.antlr.eclipse.core,4.1.0,org.antlr.eclipse.core,1255353828619
stopped,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1255353828659
stopped,bundle,org.eclipse.wst.common.ui,1.1.302.v200810160107,org.eclipse.wst.common.ui,1255353828659
stopped,bundle,org.eclipse.wst.sse.ui,1.1.4.v200901202345,org.eclipse.wst.sse.ui,1255353828659
stopped,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1255353828659
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1255353828659
stopped,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1255353828659
stopped,bundle,org.eclipse.sdk,3.4.2.v200902111700,org.eclipse.sdk,1255353828659
stopped,bundle,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.resources,1255353828659
stopped,bundle,org.eclipse.ui.navigator,3.3.102.M20090127-1700,org.eclipse.ui.navigator,1255353828659
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20081029,org.eclipse.equinox.p2.ui.sdk,1255353828659
stopped,bundle,org.eclipse.equinox.p2.ui,1.0.4.R34x_v20090123,org.eclipse.equinox.p2.ui,1255353828659
stopped,bundle,org.eclipse.equinox.security.ui,1.0.0.v20080603-1810,org.eclipse.equinox.security.ui,1255353828659
stopped,bundle,com.cea.papyrus.classdiagram.parsers,1.11.0,com.cea.papyrus.classdiagram.parsers,1255353828659
stopped,bundle,com.cea.papyrus.extensionpoints.editors,1.11.0,com.cea.papyrus.extensionpoints.editors,1255353828659
stopped,bundle,org.eclipse.ecf.examples.remoteservices.client,1.0.100.v20081224-1728,org.eclipse.ecf.examples.remoteservices.client,1255353828659
stopped,bundle,org.eclipse.ecf.provider.msn.ui,1.3.0.v20081224-1728,org.eclipse.ecf.provider.msn.ui,1255353828659
stopped,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1255353828659
stopped,bundle,org.eclipse.wst.common.project.facet.ui,1.3.2.v200809022055,org.eclipse.wst.common.project.facet.ui,1255353828659
stopped,bundle,org.eclipse.emf.validation.examples,1.2.0.v200805280204,org.eclipse.emf.validation.examples,1255353828659
stopped,bundle,org.eclipse.emf.example.installer,1.0.0.v200902171115,org.eclipse.emf.example.installer,1255353828659
stopped,bundle,org.eclipse.emf.codegen.ui,2.4.0.v200902171115,org.eclipse.emf.codegen.ui,1255353828659
stopped,bundle,org.eclipse.emf.transaction.ui,1.2.0.v200805130238,org.eclipse.emf.transaction.ui,1255353828659
