what,kind,bundleId,bundleVersion,description,time
started,bundle,org.antlr.eclipse.ui,4.1.1,org.antlr.eclipse.ui,1256119731221
started,bundle,org.antlr.eclipse.core,4.1.0,org.antlr.eclipse.core,1256119731231
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1256119731992
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1256119732473
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1256119732503
started,bundle,org.eclipse.pde.core,3.4.0.v20090202,org.eclipse.pde.core,1256119732513
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1256119732543
started,bundle,rightClick,0.7.0,rightClick,1256119736058
started,bundle,org.eclipse.m2m.atl.core,3.0.0.v200906220943,org.eclipse.m2m.atl.core,1256119736078
started,bundle,org.eclipse.m2m.atl.engine.emfvm,3.0.0.v200906220943,org.eclipse.m2m.atl.engine.emfvm,1256119736078
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1256119736359
started,bundle,com.cea.papyrus.uml4eastadl.extension,1.9.8,com.cea.papyrus.uml4eastadl.extension,1256119736409
started,bundle,com.cea.papyrus.profiles.standard,1.11.0,com.cea.papyrus.profiles.standard,1256119736419
started,bundle,com.cea.papyrus.uml4sysml.extension,1.2.0,com.cea.papyrus.uml4sysml.extension,1256119736439
started,bundle,org.eclipse.m2m.atl.common,3.0.0.v200906220943,org.eclipse.m2m.atl.common,1256119736669
started,bundle,org.eclipse.emf.ecore.change,2.4.0.v200902171115,org.eclipse.emf.ecore.change,1256119736749
started,bundle,org.eclipse.uml2.common,1.4.0.v200805131030,org.eclipse.uml2.common,1256119736839
started,bundle,org.eclipse.m2m.atl.engine,3.0.0.v200906220943,org.eclipse.m2m.atl.engine,1256119737300
started,bundle,com.cea.papyrus.umlutils,1.11.0,com.cea.papyrus.umlutils,1256119737340
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1256119784688
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1256119786331
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1256119789385
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1256119789595
stopped,bundle,org.eclipse.ve.jfc,1.4.0.v20090605-0020,org.eclipse.ve.jfc,1256119789986
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.105.v200811282340,org.eclipse.wst.xsd.ui,1256119789986
