what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,org.eclipse.mylyn.team.ui,1255353647979
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1255353648019
started,bundle,org.eclipse.update.core,3.2.202.R34x_v20081128,org.eclipse.update.core,1255353648019
started,bundle,org.antlr.eclipse.ui,4.1.1,org.antlr.eclipse.ui,1255353648019
started,bundle,org.antlr.eclipse.core,4.1.0,org.antlr.eclipse.core,1255353648039
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,org.eclipse.wst.sse.core,1255353648690
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1255353649041
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1255353650052
started,bundle,org.eclipse.debug.core,3.4.1.v20090106_r342,org.eclipse.debug.core,1255353650142
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1255353650142
started,bundle,org.eclipse.pde.core,3.4.0.v20090202,org.eclipse.pde.core,1255353650142
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1255353650152
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255353656672
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255353658524
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255353658625
stopped,bundle,org.eclipse.ve.jfc,1.4.0.v20090605-0020,org.eclipse.ve.jfc,1255353658855
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.105.v200811282340,org.eclipse.wst.xsd.ui,1255353658855
stopped,bundle,org.eclipse.wst.xsd.core,1.1.401.v200903020335,org.eclipse.wst.xsd.core,1255353658855
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.301.v200808072012,org.eclipse.wst.dtd.ui,1255353658855
stopped,bundle,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui,1255353658855
stopped,bundle,org.eclipse.wst.dtd.core,1.1.300.v200904181727,org.eclipse.wst.dtd.core,1255353658855
stopped,bundle,org.eclipse.wst.xml.core,1.1.400.v200904300540,org.eclipse.wst.xml.core,1255353658855
stopped,bundle,org.eclipse.gmf.codegen.ui,1.1.0.v20080512-1200,org.eclipse.gmf.codegen.ui,1255353658855
stopped,bundle,org.eclipse.mylyn.pde.ui,3.2.0.v20090617-0100-e3x,org.eclipse.mylyn.pde.ui,1255353658855
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.0.v20090617-0100-e3x,org.eclipse.mylyn.java.ui,1255353658855
