what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.codehaus.groovy.eclipse.core,2.0.0.20090814-1100-e34-N,org.codehaus.groovy.eclipse.core,1255516080652
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1255516080652
stopped,bundle,org.eclipse.jem.ui,2.0.100.R3_0_4,org.eclipse.jem.ui,1255516080652
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1255516080652
stopped,bundle,org.antlr.eclipse.ui,4.1.1,org.antlr.eclipse.ui,1255516080652
stopped,bundle,org.eclipse.gmf.doc.ui,1.1.0.v20070601-1400,org.eclipse.gmf.doc.ui,1255516080652
stopped,bundle,org.eclipse.gmf.bridge.ui.dashboard,2.0.0.v20080417-1610,org.eclipse.gmf.bridge.ui.dashboard,1255516080652
stopped,bundle,org.eclipse.gmf.bridge.ui,1.1.100.v20080417-1610,org.eclipse.gmf.bridge.ui,1255516080652
stopped,bundle,org.eclipse.gmf.map.edit,2.1.0.v20080716-1600,org.eclipse.gmf.map.edit,1255516080652
stopped,bundle,org.eclipse.gmf.tooldef.edit,2.0.0.v20080610-1132,org.eclipse.gmf.tooldef.edit,1255516080652
stopped,bundle,org.eclipse.gmf.bridge,1.1.0.v20090212-1755,org.eclipse.gmf.bridge,1255516080662
stopped,bundle,org.eclipse.gmf.map,2.1.0.v20080521,org.eclipse.gmf.map,1255516080662
stopped,bundle,org.eclipse.gmf.tooldef,2.0.0.v20080417-1610,org.eclipse.gmf.tooldef,1255516080662
