what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.registry,3.4.0.v20080516-0950,org.eclipse.equinox.registry,1255954880527
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.4.v200810151458,org.eclipse.wst.common.project.facet.core,1255954880527
started,bundle,org.eclipse.emf.common,2.4.0.v200902171115,org.eclipse.emf.common,1255954880527
started,bundle,org.eclipse.equinox.p2.updatechecker,1.0.0.v20080427-2136,org.eclipse.equinox.p2.updatechecker,1255954880527
started,bundle,org.eclipse.m2m.atl.adt.ui,3.0.0.v200906220943,org.eclipse.m2m.atl.adt.ui,1255954880567
started,bundle,org.eclipse.epp.usagedata.recording,1.0.1.R200809220400,org.eclipse.epp.usagedata.recording,1255954880577
started,bundle,com.cea.papyrus.ocl.validator,1.11.0,com.cea.papyrus.ocl.validator,1255954880617
started,bundle,org.eclipse.uml2.uml,2.2.2.v200811051031,org.eclipse.uml2.uml,1255954880657
started,bundle,org.eclipse.jem.util,2.0.300.HEAD,org.eclipse.jem.util,1255954880667
started,bundle,org.eclipse.wst.common.frameworks,1.1.201.v200811060900,org.eclipse.wst.common.frameworks,1255954880667
started,bundle,org.eclipse.wst.xsd.core,1.1.401.v200903020335,org.eclipse.wst.xsd.core,1255954881048
started,bundle,org.eclipse.wst.dtd.core,1.1.300.v200904181727,org.eclipse.wst.dtd.core,1255954881058
started,bundle,org.eclipse.emf.validation,1.2.0.v200807161729,org.eclipse.emf.validation,1255954881268
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,org.eclipse.mylyn.team.ui,1255954881268
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1255954881268
started,bundle,org.eclipse.wst.common.emf,1.1.203.v200811022047,org.eclipse.wst.common.emf,1255954881288
started,bundle,org.eclipse.update.core,3.2.202.R34x_v20081128,org.eclipse.update.core,1255954881308
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.202.v200811131900,org.eclipse.wst.common.emfworkbench.integration,1255954881429
started,bundle,org.eclipse.wst.common.modulecore,1.1.205.v200901292145,org.eclipse.wst.common.modulecore,1255954881489
started,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1255954881529
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1255954881559
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255954882891
started,bundle,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser,1255954883832
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255954906304
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1255954906314
