what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.resources.editor.ide,1.1.3.v20090122-1525,org.eclipse.gmf.runtime.diagram.ui.resources.editor.ide,1255353215075
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.resources.editor,1.1.1.v20080716-1600,org.eclipse.gmf.runtime.diagram.ui.resources.editor,1255353215075
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.geoshapes,1.1.2.v20080911-1506,org.eclipse.gmf.runtime.diagram.ui.geoshapes,1255353215075
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.printing,1.1.2.v20080911-1506,org.eclipse.gmf.runtime.diagram.ui.printing,1255353215105
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.providers,1.1.2.v20080916-2008,org.eclipse.gmf.runtime.diagram.ui.providers,1255353215105
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.properties,1.1.3.v20090122-1525,org.eclipse.gmf.runtime.diagram.ui.properties,1255353215105
stopped,bundle,org.eclipse.gmf.runtime.emf.ui.properties,1.1.0.v20080425-1959,org.eclipse.gmf.runtime.emf.ui.properties,1255353215105
