what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.gmf.examples.ui.pde,1.0.200.v20080425-1959,org.eclipse.gmf.examples.ui.pde,1255359670758
stopped,bundle,org.eclipse.m2m.atl.examples,3.0.0.v200906220943,org.eclipse.m2m.atl.examples,1255359670758
stopped,bundle,org.eclipse.emf.transaction.examples,1.2.0.v200806051817,org.eclipse.emf.transaction.examples,1255359670758
stopped,bundle,com.cea.papyrus.extensionpoints.uml2,1.11.0,com.cea.papyrus.extensionpoints.uml2,1255359670758
stopped,bundle,org.eclipse.wst.common.frameworks.ui,1.1.202.v200901292145,org.eclipse.wst.common.frameworks.ui,1255359670758
stopped,bundle,org.eclipse.emf.validation.ui.ide,1.2.0.v200805130238,org.eclipse.emf.validation.ui.ide,1255359670758
stopped,bundle,org.eclipse.emf.query.examples,1.2.0.v200805130238,org.eclipse.emf.query.examples,1255359670758
stopped,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1255359670758
stopped,bundle,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.ide,1255359670778
stopped,bundle,org.eclipse.jsch.ui,1.1.100.I20080415,org.eclipse.jsch.ui,1255359670778
stopped,bundle,org.eclipse.ecf.doc,1.3.0.v20081224-1728,org.eclipse.ecf.doc,1255359670778
stopped,bundle,org.eclipse.jem.beaninfo,2.0.300.HEAD,org.eclipse.jem.beaninfo,1255359670778
stopped,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1255359670778
