what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1265022055045
started,bundle,org.eclipse.uml2.diagram.common,0.9.0.v200906190654,"org.eclipse.uml2.diagram.common",1265022055045
started,bundle,org.eclipse.uml2.uml,3.0.1.v200908281330,"org.eclipse.uml2.uml",1265022055045
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1265022055045
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1265022055045
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1265022055045
started,bundle,org.eclipse.xtend.typesystem.emf.ui,0.7.2.v200908120436,"org.eclipse.xtend.typesystem.emf.ui",1265022055045
os,sysinfo,,,"win32",1265022055055
arch,sysinfo,,,"x86",1265022055055
ws,sysinfo,,,"win32",1265022055055
locale,sysinfo,,,"sv_SE",1265022055055
processors,sysinfo,,,"1",1265022055055
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1265022055055
java.runtime.version,sysinfo,,,"1.6.0_13-b03",1265022055055
java.specification.name,sysinfo,,,"Java Platform API Specification",1265022055055
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1265022055055
java.specification.version,sysinfo,,,"1.6",1265022055055
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1265022055055
java.version,sysinfo,,,"1.6.0_13",1265022055055
java.vm.info,sysinfo,,,"mixed mode",1265022055055
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1265022055055
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1265022055055
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1265022055055
java.vm.specification.version,sysinfo,,,"1.0",1265022055055
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1265022055055
